Product ID,Short Description,Cost
DBBUDEL11P27000BX004,DELL 27 4K USB-C HUB MONITOR-P2723QE (210-BDFZ) NEW,450
DBBUDEL11U27000BX006,MNT-DELL-U2724DE-68.4CM-27-UK-3Y  NEW,500
DBBUDEL11S32000BX001,"Dell 32 Curved 4K UHD Monitor - S3221QSA - 80cm, 3Yr",390
BB-DEL1100171,P3424WEB Dell 34 Curved Video Conferencing Monitor -  3YRS,700
BB-DEL1100143,Dell 34 Curved Video Conferencing Monitor - C3422WE - 86.7cm (34.1") ,720
B2B,Dell UltraSharp 40 Curved WUHD Monitor - U4021QW - 100.8cm (39.7") ,1590
DBBUDEL11U49000BX002,MNT-DELL-U4924DW-124.5CM-49-BLACK-UK-3Y ,1250
BB-DEL1100147,Dell 55 4K Monitor | C5519QA - 139.7cm(55") Black,875
DBBUDEL11P75000BX001,MNT-DELL-P7524QT-189.3CM-74.52-UK-3Y,1000
AA-DEL5500002,(ACC-KB216-UK) KB216 MULTIMEDIA KEYBOARD (QWERTY),14
YY-GEN5500034,DELL MS116 USB MOUSE,10
YY-GEN5500058,Dell Wireless Keyboard and Mouse-KM3322 -Arabic,25
DYYUGEN55KBM000BX013,DELL Wireless Keyboar KEYBOARD + MOUSE KM5221W ARABIC/ENGLISH,30
TOWER SERVERS,,
DELL PE T150 & T160  (3.5" Chassis with up to 4 Hard Drives),,
DSSUDEL11T15000BX007,"PowerEdge T150 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM, PENTIUM G6405T, 3.5"" Chassis with up to 4 Hard Drives and Software RAID, 8GB UDIMM 3200MT/s ECC, 1 x 1TB 7.2K RPM SATA 6Gbps,  iDRAC9, Basic 15G, PS 1X600W, 1Yr Basic Warranty - Next Business Day (Emerging Only )",650
DSSUDEL11T15000BX006,"PowerEdge T150 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM, PENTIUM G6405T, 3.5"" Chassis with up to 4 Hard Drives and Software RAID, 16GB UDIMM 3200MT/s ECC, 1 x 1TB 7.2K RPM SATA 6Gbps,  iDRAC9, Basic 15G, PS 1X600W, 1Yr Basic Warranty - Next Business Day (Emerging Only )",720
DSSUDEL11T15000BX002,"PowerEdge T150 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM, Intel Xeon E-2314 2.8GHz 8M Cache 4C/4T Turbo (65W) 3200 MT/s, 3.5"" Chassis with up to 4 Hard Drives and Software RAID, 16GB UDIMM 3200MT/s ECC, 1 x 2TB 7.2K RPM SATA 6Gbps, TPM2.0 V3 ,iDRAC9, Basic 15G, 3Yr Basic Warranty - Next Business Day (Emerging Only )",920
DSSUDEL11T15000BX005,"PowerEdge T150 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM, Intel Xeon E-2324G  , 3.5"" Chassis with up to 4 Hard Drives and Software RAID, 16GB UDIMM 3200MT/s ECC, 1 x 2TB 7.2K RPM SATA 6Gbps, TPM2.0 V3 ,iDRAC9, Basic 15G, 3Yr Basic Warranty - Next Business Day (Emerging Only )",950
DSSXDEL11T16000BX001,"PowerEdge T160 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM, Intel Xeon E-2414  , 3.5"" Chassis with up to 4 Hard Drives and Software RAID, 16GB UDIMM 5600MT/s ECC, 1 x 2TB 7.2K RPM SATA 6Gbps, TPM2.0 V3 ,iDRAC9, Basic 15G, 3Yr Basic Warranty - Next Business Day (Emerging Only )",1100
DELL PE T350 & T360 (3.5" Chassis with up to 8 Hard Drives) ,,
DSSUDEL11T35000PH005,"PowerEdge T350 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM, Intel Xeon E-2314 2.8GHz 8M Cache 4C/4T Turbo (65W) 3200 MT/s, 3.5"" Chassis with up to 8 Hot Plug Hard Drives and AIC PERC hot-plug PSU, 16GB UDIMM 3200MT/s ECC, iDRAC9 Basic 15G, 2TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Hot-Plug, H755 Adapter , TPM2.0V3,  Single Hot-Plug Power Supply (1+0) 600W, 3Y Basic",1950
DSSUDEL11T36000BX004,"PowerEdge T360; 3.5"" Chassis with up to 8 Hot Plug Hard Drives and AIC PERC,   Intel Xeon E-2414 2.6G 4C/4T 12M Cache Turbo HT (55W); 16GB UDIMM, 3200MT/s, ECC; 2TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Hot-Plug; PERC H355 Adapter, Full Height;  iDRAC9, Express 15G ; Single  Hot-Plug Power Supply (1+0) 600W , 3Y Basic",1950
DSSUDEL11T36000BX003,"PowerEdge T360; 3.5"" Chassis with up to 8 Hot Plug Hard Drives and AIC PERC,   Intel Xeon E-2414 2.6G 4C/4T 12M Cache Turbo HT (55W); 16GB UDIMM, 3200MT/s, ECC; 2TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Hot-Plug; PERC H355 Adapter, Full Height;  iDRAC9, Express 15G ; Dual Hot-Plug Power Supply (1+1) 600W , 3Y Basic",2050
DSSUDEL11T36000BX005,"PowerEdge DELL T360 8X3.5"",E-2414,16GB UDIMM ,2TB SATA ,H755,5720,1X600W,3YRS BASIC",2200
 DELL PE T550 & T560 (3.5" Chassis with up to 8 Hard Drives) , DELL PE T550 (3.5" Chassis with up to 8 Hard Drives) * NEW *,
DSSSDEL11T55000BX001,"PowerEdge T550 Server: Chassis 8 x 3.5 HotPlug/Intel Xeon Silver 4310 2.1G, 12C/24T,/ 1x 16GB RDIMM, 3200MT/s, Dual Rank  /1x 480GB RI SSD SATA /DVD +/-RW, SATA, Internal /Broadcom 5720 Dual Port 1Gb On-Board LOM /PERC H755/Bezel /  iDRAC9, Enterprise 15G/Dual, Hot-Plug, Power Supply,(1+1) 700W/3Y Basic Onsite",3400
DSSUDEL11T55000BX002,"PowerEdge T550; 3.5"" Chassis with up to 8 Hard Drives (SAS/SATA);Intel Xeon Silver 4309Y 2.8G, 8C/16T, 10.4GT/s, 12M Cache, Turbo, HT (105W) DDR4-2666; 16GB RDIMM, 3200MT/s, Dual Rank; 2.4TB 10K RPM SAS ISE 12Gbps 512e 2.5in Hot-plug Hard Drive, 3.5in HYB CARR; PERC H755 SAS Front, iDRAC9, Enterprise 15G , TPM, Dual, Hot-Plug, Redundant Power Supply (1+1), 800W; BROADCOM 57416 DP 10GB Base T 3Yr ProSupport and NBD On-Site Service",3850
DSSUDEL11T56000BX001,"PowerEdge T560 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM, V2/8X3.5"" SAS/SATA, 1 CPU, PERC 11/Trusted Platform Module 2.0 V3/Intel Xeon SIlver 4410Y 2G, 12C/24T, 16GT/s, 30M Cache, Turbo, HT (150W) DDR5-4000/16GB RDIMM, 5600MT/s, Single Rank/PERC H755 SAS Front/480GB SSD SATA Read Intensive 6Gbps 512 2.5in Hot-plug AG Drive,3.5in HYB CARR, 1 DWPD/iDRAC9, Enterprise 16G/Riser Config0, No PCIe Riser, 1 CPU/No OCP 3.0 mezzanine NIC card, Blank Filler/Standard Fan x8/Dual, Hot-Plug, Power Supply, 700W MM HLAC (ONLY FOR 200-240Vac) Titanium, Redundant (1+1)/3Yr ProSupport and Next Business Day Onsite",4250
RACK SERVERS,,
 DELL PE R250   & R260 (4 x 3.5" Cabled HDDs) ,,
SS-DEL1100545,"PowerEdge R250 3.5"" Chassis with up to 4 Cabled Hard Drives, PowerEdge R250 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM  , Intel Xeon E-2314 2.8GHz, 8M Cache, 4C/4T, Turbo (65W  , 16GB UDIMM, 3200MT/s, ECC , 1TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Cabled , iDRAC9  Express 15G , 1U/2U Static Rails for 2-Post and 4-Post Racks  PERC H355 Adapter, Low Profile ,Trusted Platform Module 2.0 V3, Single, Cabled Power Supply 450W, Platinum  , 3Yr Basic Warranty - Next Business Day (Emerging Only) ",1625
DSSUDEL11R25000BX013,"PowerEdge R250 3.5"" Chassis with up to 4 Cabled Hard Drives, PowerEdge R250 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM  , Intel Xeon E-2314 2.8GHz, 8M Cache, 4C/4T, Turbo (65W  , 16GB UDIMM, 3200MT/s, ECC , 1TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Cabled , iDRAC9  Express 15G , 1U/2U Static Rails for 2-Post and 4-Post Racks  PERC H355 Adapter, Low Profile ,Trusted Platform Module 2.0 V3, Single Power Supply 1X700W TITANIUM , 3Yr Basic Warranty - Next Business Day (Emerging Only) ",1650
DSSJDEL11R25000BX001,"PowerEdge R250 Server; 3.5"" Chascsis; E-2324G; 16GB UDIMM, 3200MT/s, ECC;  2TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Hot-Plug; iDRAC9, Basic 15G; Single Power Supply 1X700W TITANIUM; PERC H355 Adapter, Low Profile, 3YRS NBD",1675
