Prod ID,Vendor Name,MfgPartNo,Short Description,Detail Description,Cost,Category Name,Inventory,Condition,Criteria
MITSU-CD7Q8EA#A2N,HP,CD7Q8EA#A2N,HP Laptop (Non-PD) Clamshell | Sebastian 23C1 | Core i3-1315U (Copilot) | 8GB DDR4 1DM 3200 | 256GB PCIe value | Intel UHD Graphics | 15.6 FHD (1920x1080) AG SVA 250 nits Narrow border ultraslim | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,HP Laptop (Non-PD) Clamshell | Sebastian 23C1 | Core i3-1315U (Copilot) | 8GB DDR4 1DM 3200 | 256GB PCIe value | Intel UHD Graphics | 15.6 FHD (1920x1080) AG SVA 250 nits Narrow border ultraslim | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,425.8,Notebooks,100,NEW,
MITSU-BM2G3EA#A2N,HP,BM2G3EA#A2N,HP 15-fd0058nx LAPTOP (CI7-1355U/16GB/512GB/15.6 FHD/DOS) - NATURAL SILVER,HP 15-fd0058nx LAPTOP (CI7-1355U/16GB/512GB/15.6 FHD/DOS) - NATURAL SILVER,711.93,Notebooks,100,NEW,
MITSU-9U5V5EA#A2N,HP,9U5V5EA#A2N,HP Laptop | Sebastian 23C1 | Core i5-1334U | 8GB DDR4 2DM 3200 | 512GB PCIe Value | Intel Iris Xe | 15.6 FHD Antiglare slim IPS 250 nits Narrow Border | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,HP Laptop | Sebastian 23C1 | Core i5-1334U | 8GB DDR4 2DM 3200 | 512GB PCIe Value | Intel Iris Xe | 15.6 FHD Antiglare slim IPS 250 nits Narrow Border | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,533.61,Notebooks,100,NEW,
MITSU-C26BGEA#A2N,HP,C26BGEA#A2N,HP Laptop (PD) Clamshell | Sebastian 24C1 | Ultra 7-155H (Copilot) | 24GB DDR5 1DM 5600 | 512GB PCIe value | Intel Arc graphics | 15.6 FHD (1920x1080) AG IPS 300 nits Narrow border flat | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,HP Laptop (PD) Clamshell | Sebastian 24C1 | Ultra 7-155H (Copilot) | 24GB DDR5 1DM 5600 | 512GB PCIe value | Intel Arc graphics | 15.6 FHD (1920x1080) AG IPS 300 nits Narrow border flat | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,746.51,Notebooks,100,NEW,
MITSU-C26BJEA#A2N,HP,C26BJEA#A2N,HP Laptop (PD) Clamshell | Sebastian 24C1 | Ultra 5-125H (Copilot) | 16GB DDR5 2DM 5600 | 512GB PCIe value | Intel Arc graphics | 15.6 FHD (1920x1080) AG IPS 300 nits Narrow border flat | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,HP Laptop (PD) Clamshell | Sebastian 24C1 | Ultra 5-125H (Copilot) | 16GB DDR5 2DM 5600 | 512GB PCIe value | Intel Arc graphics | 15.6 FHD (1920x1080) AG IPS 300 nits Narrow border flat | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,608.21,Notebooks,100,NEW,
MITSU-CD7R6EA#A2N,HP,CD7R6EA#A2N,HP Laptop (PD) Clamshell | Sebastian 24C1 | Core 5-120U (Copilot) | 8GB DDR4 1DM 3200 | 512GB PCIe value | Intel Graphics | 15.6 FHD (1920x1080) AG SVA 250 nits Narrow border ultraslim | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,HP Laptop (PD) Clamshell | Sebastian 24C1 | Core 5-120U (Copilot) | 8GB DDR4 1DM 3200 | 512GB PCIe value | Intel Graphics | 15.6 FHD (1920x1080) AG SVA 250 nits Narrow border ultraslim | OST FreeDOS 3.0 | Natural Silver (FF+) - 720p TNR PVCY ST | WARR 1/1/0 EURO,536.33,Notebooks,100,NEW,
MITSU-780D9AS#A2N,HP,780D9AS#A2N,"HP Gaming Monitor 24inch - 23.8"", 1920 x 1080 (FHD), IPS, Flat, 165Hz, 1ms, 300 nits, FreeSync Premium","HP Gaming Monitor 24inch - 23.8"", 1920 x 1080 (FHD), IPS, Flat, 165Hz, 1ms, 300 nits, FreeSync Premium",175.87,Monitors,100,NEW,
MITSU-780F9AS#A2N,HP,780F9AS#A2N,"HP Gaming Monitor 27inch - 27"", 1920 x 1080 (FHD), IPS, Flat, 165Hz, 1ms, 400 nits, FreeSync Premium","HP Gaming Monitor 27inch - 27"", 1920 x 1080 (FHD), IPS, Flat, 165Hz, 1ms, 400 nits, FreeSync Premium",220.52,Monitors,100,NEW,
MITSU-780H4AS#A2N,HP,780H4AS#A2N,"HP Gaming Monitor 27inch - 27"", 2560 x 1440 (QHD), IPS, Flat, 165Hz, 1ms, 400 nits, FreeSync Premium","HP Gaming Monitor 27inch - 27"", 2560 x 1440 (QHD), IPS, Flat, 165Hz, 1ms, 400 nits, FreeSync Premium",285.05,Monitors,100,NEW,
MITSU-780K0AS#A2N,HP,780K0AS#A2N,"HP Gaming Monitor 32inch - 31.5"", 2560 x 1440 (QHD), IPS, Flat, 165Hz, 1ms, 400 nits, FreeSync Premium","HP Gaming Monitor 32inch - 31.5"", 2560 x 1440 (QHD), IPS, Flat, 165Hz, 1ms, 400 nits, FreeSync Premium",372.71,Monitors,100,NEW,
